Location,Stay At Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,State-Mandated School Closures,Bar/Restaurant Limits,Primary Election Postponement,Emergency Declaration,,score
,,,,,,,,,,
Alabama,Statewide,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,,8
Alaska,Statewide,All Travelers,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,11
Arizona,Statewide,From Certain States,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,8
Arkansas,-,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,3
California,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Effectively Closed,Closed except for takeout/delivery,-,Yes,,8
Colorado,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,8
Connecticut,Statewide,-,All Non-Essential Businesses,Other,Yes,Closed except for takeout/delivery,Yes,Yes,,7
Delaware,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,,11
District of Columbia,Statewide,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,7
Florida,Statewide,From Certain States,All Non-Essential Businesses,Other,Yes,Closed except for takeout/delivery,-,Yes,,7
Georgia,Statewide,-,Other,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,,8
Hawaii,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,10
Idaho,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Effectively Closed,Closed except for takeout/delivery,-,Yes,,8
Illinois,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,8
Indiana,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,,9
Iowa,-,-,Other,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,5
Kansas,Statewide,From Certain States,All Non-Essential Businesses,>10 People Prohibited,Yes,Limited On-site Service,-,Yes,,7
Kentucky,Statewide,Other,All Non-Essential Retail Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,,11
Louisiana,Statewide,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,,6
Maine,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,10
Maryland,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,,11
Massachusetts,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,10
Michigan,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,8
Minnesota,Statewide,-,-,-,Yes,Closed except for takeout/delivery,-,Yes,,4
Mississippi,Statewide,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,,8
Missouri,Statewide,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,7
Montana,Statewide,All Travelers,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,11
Nebraska,-,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,3
Nevada,Statewide,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,7
New Hampshire,Statewide,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,7
New Jersey,Statewide,-,All Non-Essential Retail Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,7
New Mexico,Statewide,All Air Travelers,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Limited On-site Service,-,Yes,,9
New York,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,,9
North Carolina,Statewide,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,7
North Dakota,-,From Certain States,Other,-,Yes,Closed except for takeout/delivery,-,Yes,,5
Ohio,Statewide,All Travelers,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes,,12
Oklahoma,High-risk Groups,From Certain States,All Non-Essential Businesses,>10 People Prohibited,Yes,Other,-,Yes,,5
Oregon,Statewide,-,All Non-Essential Retail Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,7
Pennsylvania,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,8
Rhode Island,Statewide,All Travelers,All Non-Essential Retail Businesses,Other,Yes,Closed except for takeout/delivery,Yes,Yes,,9
South Carolina,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,8
South Dakota,-,-,-,>10 People Prohibited,Yes,-,-,Yes,,1
Tennessee,Statewide,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,7
Texas,Statewide,From Certain States,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,6
Utah,High-risk Groups,All Travelers,-,-,Yes,Closed except for takeout/delivery,-,Yes,,6
Vermont,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,10
Virginia,Statewide,-,Other,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,7
Washington,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,8
West Virginia,Statewide,From Certain States,All Non-Essential Businesses,Other,Yes,Closed except for takeout/delivery,Yes,Yes,,8
Wisconsin,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,8
Wyoming,-,All Travelers,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes,,6
Notes,,,,,,,,,,